ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
49.0351,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
26.52792,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757332,3.105008,0.4673359,ACCELERATE
26.48756,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757379,3.105008,0.4806455,ACCELERATE
26.48658,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757391,3.105008,0.4863977,ACCELERATE
26.48598,6.520902,4.611067,6.489864,4.588934,15.98893,0.275742,3.105008,0.5002611,ACCELERATE
26.48611,6.520895,4.611062,6.489872,4.588939,15.98894,0.275746,3.105012,0.6081625,ACCELERATE
26.48757,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757445,3.105016,0.702831,ACCELERATE
26.48785,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757462,3.105044,0.8065466,ACCELERATE
26.48776,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757461,3.105071,0.90408,ACCELERATE
26.4876,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757427,3.105078,1.001761,ACCELERATE
26.48768,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105093,1.103876,ACCELERATE
26.4877,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105118,1.20226,ACCELERATE
26.48776,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757458,3.105145,1.300994,ACCELERATE
26.48728,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757451,3.105167,1.404659,ACCELERATE
26.48755,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757429,3.105168,1.500395,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105196,1.60037,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757459,3.105225,1.703719,ACCELERATE
26.4875,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757428,3.105228,1.800532,ACCELERATE
26.48766,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105247,1.903872,ACCELERATE
26.4877,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105274,2.00051,ACCELERATE
26.4876,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105289,2.103034,ACCELERATE
26.48766,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105298,2.203433,ACCELERATE
26.48768,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105329,2.303527,ACCELERATE
26.48753,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757431,3.105342,2.404223,ACCELERATE
26.48769,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757449,3.105355,2.504291,ACCELERATE
26.48775,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105382,2.604837,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105411,2.703116,ACCELERATE
26.4875,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105415,2.802973,ACCELERATE
26.48767,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105439,2.901469,ACCELERATE
26.48772,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757468,3.105473,3.004647,ACCELERATE
26.27744,6.520889,4.61104,6.489879,4.588961,15.98896,0.2757269,3.142097,3.100137,ACCELERATE
25.90582,6.520946,4.61103,6.489821,4.588972,15.98897,0.2757059,3.329441,3.203571,ACCELERATE
25.73339,6.521016,4.611023,6.489751,4.588978,15.98898,0.2756978,3.649944,3.302801,ACCELERATE
22.47877,6.521213,4.61103,6.489555,4.588972,15.98897,0.2850281,4.10794,3.404232,ACCELERATE
25.65863,6.521391,4.611064,6.489378,4.588937,15.98893,0.2784688,4.68126,3.504486,ACCELERATE
24.47108,6.521529,4.611131,6.489241,4.588871,15.98887,0.2800789,5.360854,3.602932,ACCELERATE
25.04671,6.521672,4.611195,6.489097,4.588807,15.9888,0.2787656,6.14323,3.701061,ACCELERATE
24.68032,6.521875,4.611265,6.488896,4.588736,15.98873,0.2794241,7.02967,3.800218,ACCELERATE
24.76197,6.522067,4.611344,6.488705,4.588657,15.98865,0.2790443,8.013464,3.900285,ACCELERATE
24.6492,6.522317,4.611444,6.488455,4.588557,15.98855,0.2792034,9.12137,4.004415,ACCELERATE
24.6642,6.522568,4.611555,6.488204,4.588446,15.98844,0.2791294,10.20929,4.10034,ACCELERATE
24.61366,6.522888,4.611701,6.487886,4.5883,15.98829,0.2791703,11.47091,4.205731,ACCELERATE
24.61136,6.513591,4.611347,6.497167,4.588661,15.9892,0.2791564,12.71526,4.305048,RIGHT_ACCELERATE
24.49371,6.194362,4.573617,6.858445,4.635361,16.03792,0.2791663,14.02756,4.406135,RIGHT_ACCELERATE
24.52714,5.830614,4.457217,7.34574,4.772987,16.16401,0.2791614,15.32002,4.503189,RIGHT_ACCELERATE
24.55054,5.653953,4.32444,7.555409,4.906188,16.2983,0.2791615,16.66657,4.601696,ACCELERATE
24.54766,5.479085,4.190016,7.760745,5.040483,16.43113,0.2791595,18.09486,4.703727,ACCELERATE
24.53918,5.315231,4.064226,7.953153,5.166176,16.55556,0.2791588,19.49514,4.801793,ACCELERATE
24.53202,5.153205,3.940011,8.143489,5.290324,16.67859,0.2791574,20.92113,4.900025,ACCELERATE
24.52455,4.986956,3.812671,8.338837,5.417615,16.80586,0.2791587,22.42607,5.002227,ACCELERATE
23.23172,4.825749,3.68926,8.528293,5.54099,16.9292,0.279159,23.90435,5.101834,ACCELERATE
21.70913,4.661556,3.563611,8.721281,5.666612,17.05439,0.2791597,25.41878,5.203854,ACCELERATE
20.23626,4.503586,3.442754,8.906968,5.787447,17.17439,0.2791609,26.87934,5.302238,ACCELERATE
18.77453,4.347379,3.323265,9.090589,5.906917,17.29369,0.2791612,28.33764,5.400468,ACCELERATE
17.2821,4.188303,3.201596,9.277579,6.028569,17.41425,0.2791595,29.81555,5.500017,ACCELERATE
15.78879,4.029419,3.080085,9.552948,6.150065,17.53537,0.2791603,31.30351,5.600241,ACCELERATE
14.29453,3.87064,2.958663,10.0866,6.271473,17.65676,0.2791604,32.79703,5.700838,ACCELERATE
12.76317,3.708076,2.834351,11.15988,6.395771,17.781,0.27916,34.32719,5.803904,ACCELERATE
11.32552,3.528548,2.717735,14.08744,6.512374,17.89703,0.2791589,35.75731,5.900229,ACCELERATE
9.785476,3.269655,2.592697,31.96506,6.653303,18.02223,0.2791611,37.3014,6.004231,ACCELERATE
8.283813,2.943519,2.430009,29.86578,6.885139,18.14198,0.2791587,38.77904,6.103758,ACCELERATE
6.922266,2.576291,2.202381,27.92846,7.20606,18.25585,0.2791618,40.23843,6.202035,LEFT_ACCELERATE
6.278615,2.273777,1.935448,27.50164,7.478557,18.29707,0.2791635,41.74232,6.303148,LEFT_ACCELERATE
6.534258,2.138066,1.752282,28.99278,7.565629,18.1613,0.2791871,43.22818,6.403574,LEFT_ACCELERATE
8.089744,2.273021,1.713904,33.60073,7.490546,17.78261,0.2792106,44.66684,6.503859,LEFT_ACCELERATE
10.77014,2.740851,1.890851,44.73459,7.339579,17.14615,0.2792162,45.98655,6.602726,LEFT_ACCELERATE
14.05559,3.586122,2.259499,10.00566,7.144441,16.28854,0.2792193,47.1437,6.700039,LEFT_ACCELERATE
17.40707,4.867637,2.869564,8.040204,6.809344,15.16469,0.2792054,48.19833,6.804185,LEFT_ACCELERATE
